filename,timestep,global_charge,absolute_charge,charge_ratio,max_local_density,structure_count
snap_0025_trial000_step_000200.npz,200,1.8975292573235503,1157.0224197484147,609.7520840182635,0.4996536173013716,22785
snap_0025_trial000_step_000400.npz,400,-0.4441411519961492,1157.4847981891467,2606.1192266936414,0.4988980971009549,22723
snap_0025_trial000_step_000600.npz,600,-7.6992744014285925,1158.771885522684,150.5040377775302,0.4993009464312868,22727
snap_0025_trial000_step_000800.npz,800,-19.815247411482552,1161.7299702930277,58.6280830165764,0.49853216486903207,22707
snap_0026_trial001_step_000000.npz,0,1.6664114450333087,1157.6056711327635,694.6697791162585,0.49899204299014877,22808
snap_0026_trial001_step_000200.npz,200,1.8975292573235503,1157.0224197484147,609.7520840182635,0.4996536173013716,22785
snap_0026_trial001_step_000400.npz,400,-0.4441411519961492,1157.4847981891467,2606.1192266936414,0.4988980971009549,22723
snap_0026_trial001_step_000600.npz,600,-7.6992744014285925,1158.771885522684,150.5040377775302,0.4993009464312868,22727
snap_0026_trial001_step_000800.npz,800,-19.815247411482552,1161.7299702930277,58.6280830165764,0.49853216486903207,22707
snap_0027_trial002_step_000000.npz,0,1.6664114450333087,1157.6056711327635,694.6697791162585,0.49899204299014877,22808
snap_0027_trial002_step_000200.npz,200,1.8975292573235503,1157.0224197484147,609.7520840182635,0.4996536173013716,22785
snap_0027_trial002_step_000400.npz,400,-0.4441411519961492,1157.4847981891467,2606.1192266936414,0.4988980971009549,22723
snap_0027_trial002_step_000600.npz,600,-7.6992744014285925,1158.771885522684,150.5040377775302,0.4993009464312868,22727
snap_0027_trial002_step_000800.npz,800,-19.815247411482552,1161.7299702930277,58.6280830165764,0.49853216486903207,22707
snap_0028_trial003_step_000000.npz,0,1.6664114450333087,1157.6056711327635,694.6697791162585,0.49899204299014877,22808
snap_0028_trial003_step_000200.npz,200,1.8975292573235503,1157.0224197484147,609.7520840182635,0.4996536173013716,22785
snap_0028_trial003_step_000400.npz,400,-0.4441411519961492,1157.4847981891467,2606.1192266936414,0.4988980971009549,22723
snap_0028_trial003_step_000600.npz,600,-7.6992744014285925,1158.771885522684,150.5040377775302,0.4993009464312868,22727
snap_0028_trial003_step_000800.npz,800,-19.815247411482552,1161.7299702930277,58.6280830165764,0.49853216486903207,22707
snap_0029_trial004_step_000000.npz,0,1.6664114450333087,1157.6056711327635,694.6697791162585,0.49899204299014877,22808
snap_0029_trial004_step_000200.npz,200,1.8975292573235503,1157.0224197484147,609.7520840182635,0.4996536173013716,22785
snap_0029_trial004_step_000400.npz,400,-0.4441411519961492,1157.4847981891467,2606.1192266936414,0.4988980971009549,22723
snap_0029_trial004_step_000600.npz,600,-7.6992744014285925,1158.771885522684,150.5040377775302,0.4993009464312868,22727
snap_0029_trial004_step_000800.npz,800,-19.815247411482552,1161.7299702930277,58.6280830165764,0.49853216486903207,22707
